Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
131,Ed Sheeran,Thinking out Loud,241,22,1,"12,966,533","1,256,739,061",6/21/2014,83,"acoustic, cover songs, detroit, dirtdoggy productions, dj scoob, hip hop, kalamazoo, michigan, pop, r&b, rock, scoob",1161847
132,Bad Bunny,Tití Me Preguntó,62,24,4,"35,141,825","1,251,442,060",5/6/2022,83,"hip hop, latin, latin trap, reggaeton, trap latino",665065
133,Roddy Ricch,The Box,80,18,1,"48,937,592","1,251,184,105",12/6/2019,81,"english, hip hop, rap, trap",1066049
134,Arctic Monkeys,Do I Wanna Know?,234,,38,"9,519,123","1,250,364,942",9/9/2013,86,"alternative rock, art rock, baroque pop, british, garage rock, garage rock revival, indie rock, neo-psychedelia, post-punk revival, psychedelic pop, psychedelic rock, sheffield, uk",2682285
135,Ed Sheeran,Shivers,90,23,4,"31,926,382","1,240,024,967",10/25/2021,82,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",629312
136,Metro Boomin,Creepin',68,15,2,"36,446,537","1,239,540,881",12/2/2022,81,"hip hop, trap",34477
137,Ed Sheeran,I Don't Care,90,17,1,"58,370,367","1,236,890,080",7/8/2009,55,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",86855
138,Post Malone,I Had Some Help (Feat. Morgan Wallen),69,8,3,"66,560,055","1,233,033,416",5/10/2024,81,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",604966
139,Imagine Dragons,Demons,244,6,8,"11,240,856","1,232,145,944",9/4/2012,83,"alternative pop, alternative rock, electropop, indie pop, indietronica, nuno, pop, pop rock, rock",1639963
140,Post Malone,Better Now,114,11,1,"40,788,286","1,232,129,792",4/27/2018,80,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",993577
141,Calvin Harris,One Kiss,111,14,2,"30,380,257","1,225,387,792",4/6/2018,80,"2010s, dance-pop, edm, electro house, electronic, electropop, festival progressive house, funktronica, late 2000s, nu disco, nu-disco, progressive house, uk hip hop",59882
142,d4vd,Romantic Homicide,111,,17,"17,688,935","1,236,162,909",7/20/2022,88,"2020s, alternative r&b, contemporary r&b, indie pop",1405344
143,DaBaby,ROCKSTAR,72,22,1,"41,679,959","1,215,705,911",6/27/2024,74,"hip hop, southern hip hop",16200
144,Justin Bieber,Peaches,77,14,1,"52,357,127","1,213,245,560",3/19/2021,80,"2010s, 2020s, dance-pop, pop, pop rap, r&b, teen pop",24231
145,Travis Scott,FE!N,84,1,5,"36,391,896","1,206,111,064",7/28/2023,84,"english, experimental hip hop, hip hop, pop rap, rap, southern hip hop, trap",312382
146,Sabrina Carpenter,Taste,55,13,3,"56,201,169","1,201,951,718",5/16/2018,68,"2020s, dance-pop, electropop, pop",1384141
147,Imagine Dragons,Thunder,143,3,8,"21,076,623","1,201,237,576",6/23/2017,85,"alternative pop, alternative rock, electropop, indie pop, indietronica, nuno, pop, pop rock, rock",967273
148,David Kushner,Daylight,72,11,5,"32,418,390","1,196,244,710",4/14/2023,71,"hip hop, rap, pop",732538
149,The Weeknd,The Hills,185,11,3,"14,363,491","1,192,229,116",8/28/2015,86,"hip hop, rap, pop",1949080
150,Halsey,Without Me,121,16,4,"27,576,694","1,192,139,465",1/17/2020,82,"2010s, 2020s, alternative pop, alternative r&b, alternative rock, contemporary r&b, electropop, indie pop, pop, pop rock, queer, synth-pop",1040145
